epochs,learningRate,accuracy
30.0,0.0001,0.6549079754601227
30.0,0.001,0.32849972113775794
30.0,0.01,0.020078081427774678
30.0,0.1,0.02286670384829894
40.0,0.0001,0.7455382041271612
40.0,0.001,0.4081148912437256
40.0,0.01,0.034439486893474626
40.0,0.1,0.04615170105967652
50.0,0.0001,0.7267150027886224
50.0,0.001,0.23340769659788066
50.0,0.01,0.020078081427774678
50.0,0.1,0.020078081427774678
60.0,0.0001,0.7462353597322923
60.0,0.001,0.28667038482989404
60.0,0.01,0.02286670384829894
60.0,0.1,0.020078081427774678
70.0,0.0001,0.689765755716676
70.0,0.001,0.3123257110987172
70.0,0.01,0.020078081427774678
70.0,0.1,0.034300055772448414
80.0,0.0001,0.7686837702175126
80.0,0.001,0.42038482989403236
80.0,0.01,0.020078081427774678
80.0,0.1,0.034160624651422195
90.0,0.0001,0.7515337423312883
90.0,0.001,0.2551589514779699
90.0,0.01,0.02286670384829894
90.0,0.1,0.043223647518126046
100.0,0.0001,0.7646402677077524
100.0,0.001,0.45231455660903513
100.0,0.01,0.02286670384829894
100.0,0.1,0.029141104294478526
